POINTID,v,u,lon,lat,dir,vel
1,0.00000000000,0.80768402100,-3.78135132790,43.52074193280,90.00265440810,0.80768402100
2,0.00000000000,0.80653698731,-3.78084626235,43.52074193280,90.00265440810,0.80653698731
3,0.00000000000,0.80537200928,-3.78034119681,43.52074193280,90.00265440810,0.80537200928
4,0.00000000000,0.80420800781,-3.77983613126,43.52074193280,90.00265440810,0.80420800781
5,0.00000000000,0.80304302978,-3.77933106571,43.52074193280,90.00265440810,0.80304302978
6,0.00000000000,0.80187799072,-3.77882600017,43.52074193280,90.00265440810,0.80187799072
7,0.00000000000,0.80089801025,-3.77832093462,43.52074193280,90.00265440810,0.80089801025
8,0.00000000000,0.80010302734,-3.77781586908,43.52074193280,90.00265440810,0.80010302734
9,0.00000000000,0.79930700684,-3.77731080353,43.52074193280,90.00265440810,0.79930700684
10,0.00000000000,0.79851202393,-3.77680573799,43.52074193280,90.00265440810,0.79851202393
11,0.00000000000,0.79771600342,-3.77630067244,43.52074193280,90.00265440810,0.79771600342
12,0.00000000000,0.79753302002,-3.77579560690,43.52074193280,90.00265440810,0.79753302002
13,0.00000000000,0.79796301270,-3.77529054135,43.52074193280,90.00265440810,0.79796301270
14,0.00000000000,0.79839300537,-3.77478547581,43.52074193280,90.00265440810,0.79839300537
15,0.00000000000,0.79882202148,-3.77428041026,43.52074193280,90.00265440810,0.79882202148
16,0.00000000000,0.79925201416,-3.77377534471,43.52074193280,90.00265440810,0.79925201416
17,0.00000000000,0.80017102051,-3.77327027917,43.52074193280,90.00265440810,0.80017102051
18,0.00000000000,0.80158001709,-3.77276521362,43.52074193280,90.00265440810,0.80158001709
19,0.00000000000,0.80298797607,-3.77226014808,43.52074193280,90.00265440810,0.80298797607
20,0.00000000000,0.80439697266,-3.77175508253,43.52074193280,90.00265440810,0.80439697266
21,0.00000000000,0.80580603027,-3.77125001699,43.52074193280,90.00265440810,0.80580603027
22,0.00000000000,0.80721502686,-3.77074495144,43.52074193280,90.00265440810,0.80721502686
23,0.00000000000,0.80862597656,-3.77023988590,43.52074193280,90.00265440810,0.80862597656
24,0.00000000000,0.81003698730,-3.76973482035,43.52074193280,90.00265440810,0.81003698730
25,0.00000000000,0.81144702148,-3.76922975481,43.52074193280,90.00265440810,0.81144702148
26,0.00000000000,0.81285797119,-3.76872468926,43.52074193280,90.00265440810,0.81285797119
27,0.00000000000,0.81391900635,-3.76821962371,43.52074193280,90.00265440810,0.81391900635
28,0.00000000000,0.81463000488,-3.76771455817,43.52074193280,90.00265440810,0.81463000488
29,0.00000000000,0.81534197998,-3.76720949262,43.52074193280,90.00265440810,0.81534197998
30,0.00000000000,0.81605297852,-3.76670442708,43.52074193280,90.00265440810,0.81605297852
31,0.00000000000,0.81676397705,-3.76619936153,43.52074193280,90.00265440810,0.81676397705
32,0.00000000000,0.81715997315,-3.76569429599,43.52074193280,90.00265440810,0.81715997315
33,0.00000000000,0.81723999023,-3.76518923044,43.52074193280,90.00265440810,0.81723999023
34,0.00000000000,0.81732000732,-3.76468416490,43.52074193280,90.00265440810,0.81732000732
35,0.00000000000,0.81740100098,-3.76417909935,43.52074193280,90.00265440810,0.81740100098
36,0.00000000000,0.81748101807,-3.76367403381,43.52074193280,90.00265440810,0.81748101807
37,0.00000000000,0.81755798340,-3.76316896826,43.52074193280,90.00265440810,0.81755798340
38,0.00000000000,0.81763098145,-3.76266390271,43.52074193280,90.00265440810,0.81763098145
39,0.00000000000,0.81770397949,-3.76215883717,43.52074193280,90.00265440810,0.81770397949
40,0.00000000000,0.81777697754,-3.76165377162,43.52074193280,90.00265440810,0.81777697754
41,0.00000000000,0.81784997559,-3.76114870608,43.52074193280,90.00265440810,0.81784997559
42,0.00000000000,0.81827899170,-3.76064364053,43.52074193280,90.00265440810,0.81827899170
43,0.00000000000,0.81906500244,-3.76013857499,43.52074193280,90.00265440810,0.81906500244
44,0.00000000000,0.81984997559,-3.75963350944,43.52074193280,90.00265440810,0.81984997559
45,0.00000000000,0.82063500977,-3.75912844390,43.52074193280,90.00265440810,0.82063500977
46,0.00000000000,0.82141998291,-3.75862337835,43.52074193280,90.00265440810,0.82141998291
47,0.00000000000,0.82268701172,-3.75811831281,43.52074193280,90.00265440810,0.82268701172
48,0.00000000000,0.82443597412,-3.75761324726,43.52074193280,90.00265440810,0.82443597412
49,0.00000000000,0.82618499756,-3.75710818172,43.52074193280,90.00265440810,0.82618499756
50,0.00000000000,0.82793298340,-3.75660311617,43.52074193280,90.00265440810,0.82793298340
51,0.00000000000,0.82968200684,-3.75609805062,43.52074193280,90.00265440810,0.82968200684
52,0.00000000000,0.83170599365,-3.75559298508,43.52074193280,90.00265440810,0.83170599365
53,0.00000000000,0.83400402832,-3.75508791953,43.52074193280,90.00265440810,0.83400402832
54,0.00000000000,0.83630297852,-3.75458285399,43.52074193280,90.00265440810,0.83630297852
55,0.00000000000,0.83860101318,-3.75407778844,43.52074193280,90.00265440810,0.83860101318
56,0.00000000000,0.84090002441,-3.75357272290,43.52074193280,90.00265440810,0.84090002441
57,0.00000000000,0.84310400391,-3.75306765735,43.52074193280,90.00265440810,0.84310400391
58,0.00000000000,0.84521502686,-3.75256259181,43.52074193280,90.00265440810,0.84521502686
59,0.00000000000,0.84732598877,-3.75205752626,43.52074193280,90.00265440810,0.84732598877
60,0.00000000000,0.84943701172,-3.75155246072,43.52074193280,90.00265440810,0.84943701172
61,0.00000000000,0.85154699707,-3.75104739517,43.52074193280,90.00265440810,0.85154699707
